source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,2020-2021,Apr-2020,,905802.0,427308.0,18.0,capital_market_year_summary_table,Apr-20,"1,949",18,"1,878",18,"2,405","3,606","4,27,308","9,05,802","50,322","25,118","4,27,308","9,05,802","1,27,38,626",,,,,
capital_market,Capital Market,NA,2021-2022,Apr-2021,,1330687.0,500847.0,19.0,capital_market_year_summary_table,Apr-21,"1,968",24,"1,912",19,"2,544","3,850","5,00,847","13,30,687","70,036","34,560","5,00,847","13,30,687","2,05,56,971",,,,,
capital_market,Capital Market,NA,2022-2023,Apr-2022,,1292243.0,552762.0,19.0,capital_market_year_summary_table,Apr-22,"2,079",27,"2,028",19,"2,599","4,377","5,52,762","12,92,243","68,013","29,526","5,52,762","12,92,243","2,64,59,285",,,,,
capital_market,Capital Market,NA,2023-2024,Apr-2023,,879339.0,379590.0,17.0,capital_market_year_summary_table,Apr-23,"2,202",28,"2,139",17,"2,829","2,900","3,79,590","8,79,339","51,726","30,324","3,79,590","8,79,339","2,70,18,490",,,,,
capital_market,Capital Market,NA,2024-2025,Apr-2024,,2120196.0,990584.0,20.0,capital_market_year_summary_table,Apr-24,"2,464",3,"2,389",20,"3,532","6,810","9,90,584","21,20,196","1,06,010","31,133","9,90,584","21,20,196","4,03,04,406",,,,,
capital_market,Capital Market,NA,2025-2026,Apr-2025,,1906257.0,713833.0,19.0,capital_market_year_summary_table,Apr-25,"2,726",3,"2,651",19,"3,786","6,836","7,13,833","19,06,257","1,00,329","27,886","7,13,833","19,06,257","4,21,38,113",,,,,
capital_market,Capital Market,NA,2026-2027,Apr-2026,,2694182.0,1065312.0,20.0,capital_market_year_summary_table,Apr-26,"2,986",109,"3,015",20,"4,223","7,472","10,65,312","26,94,182","1,34,709","36,057","10,65,312","26,94,182","4,63,47,219",,,,,
capital_market,Capital Market,NA,1999-2000,Aug-1999,,53699.0,22869.0,22.0,capital_market_year_summary_table,Aug-99,671,579,"1,239",22,"1,179",81,"22,869","53,699","2,441","65,956","11,963","42,147","6,68,187",,,,,
capital_market,Capital Market,NA,2000-2001,Aug-2000,,125347.0,23456.0,22.0,capital_market_year_summary_table,Aug-00,751,410,"1,089",22,"1,038",138,"23,456","1,25,347","5,698","91,004","21,177","1,16,186","7,94,516",,,,,
capital_market,Capital Market,NA,2001-2002,Aug-2001,,29417.0,15937.0,21.0,capital_market_year_summary_table,Aug-01,786,293,994,21,931,112,"15,937","29,417","1,401","26,350","15,931","29,415","5,75,242",,,,,
